filename,stage,split,taxon_id,taxon_name,taxon_group,observation_id,x_suture,y_suture,x_exuviae,y_exuviae,w_exuviae,h_exuviae,x_organism,y_organism,w_organism,h_organism,taxon_group_Chelicerata,taxon_group_Crustacea,taxon_group_Hexapoda,taxon_group_Myriapoda,dist_centroids,box_overlap,size_ratio,dist_suture_exuviae,dist_suture_organism,has_suture,ex_mean_r,ex_mean_g,ex_mean_b,ex_std_rgb,ex_var_gray,ex_mean_gray,org_mean_r,org_mean_g,org_mean_b,org_std_rgb,org_var_gray,org_mean_gray
287033558.jpg,post-moult,train,129141,Parcoblatta pennsylvanica,Hexapoda,287033558,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
286962774.jpg,moulting,train,122238,Porcellio scaber,Crustacea,286962774,255.0,269.0,182.0,64.0,191.0,232.0,120.0,209.0,192.0,177.0,0.0,1.0,0.0,0.0,132.62164227606291,0.16884125041053355,1.3039077212806027,91.80005446621477,48.303726564313855,1.0,112.82128994403323,102.69109947643979,96.11800415237407,49.89056705565313,2419.6305784051056,104.97237768550279,66.40572033898304,60.31179378531073,55.55267184557439,42.72929683747284,1817.9736750460115,61.61540725047081
285284348.jpg,post-moult,train,194643,Stictopleurus punctatonervosus,Hexapoda,285284348,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
284777417.jpg,moulting,train,437641,Huechys fusca,Hexapoda,284777417,169.0,81.0,106.0,20.0,104.0,85.0,107.0,106.0,143.0,200.0,0.0,0.0,1.0,0.0,144.95689014324225,0.0,0.3090909090909091,21.523243250030884,125.36048021605534,1.0,94.0302036199095,74.36617647058823,61.27760180995475,53.27506413624417,2557.2399287483877,78.77918552036199,124.7329020979021,118.0298951048951,118.88185314685315,55.48341533083124,2506.787614254976,120.1376923076923
284684693.jpg,post-moult,train,447552,Maja brachydactyla,Crustacea,284684693,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
283809460.jpg,moulting,train,326099,Leptograpsus variegatus,Crustacea,283809460,244.0,75.0,218.0,25.0,191.0,287.0,135.0,19.0,131.0,136.0,0.0,1.0,0.0,0.0,139.32426206515504,0.09398581175726357,3.0768410417602157,116.50107295643247,45.12482686947397,1.0,48.86615466005071,42.55072331575971,36.890380721309086,29.14540077430629,806.9484230579893,43.79537369794042,49.7795240233498,46.13566457117198,47.28463179164795,33.772815730544494,1167.6030890105694,47.348787606645715
283295908.jpg,post-moult,val,121774,Clubiona,Chelicerata,283295908,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
282626543.jpg,moulting,train,47208,Coleoptera,Hexapoda,282626543,254.0,243.0,150.0,111.0,142.0,143.0,182.0,232.0,99.0,119.0,0.0,0.0,1.0,0.0,109.5045661148429,0.07282089003310041,1.723622782446312,68.91480247377918,53.464941784313204,1.0,98.96567516990052,92.05983453166552,86.32606126268098,54.48981614334815,2912.9074176718386,93.46528119767557,148.7725150666327,128.78669043374927,110.35429929547577,54.02509604143286,2377.1933821584958,132.66378066378067
282417089.jpg,post-moult,train,61257,Leptoglossus,Hexapoda,282417089,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
281933694.jpg,moulting,val,56083,Armadillidium vulgare,Crustacea,281933694,178.0,174.0,169.0,137.0,98.0,120.0,129.0,137.0,67.0,69.0,0.0,1.0,0.0,0.0,61.077819214506995,0.12830578512396695,2.5438027255029203,46.14108798023731,15.700318468107582,1.0,122.8545918367347,94.20416666666667,92.71318027210884,58.59118330073291,2999.215236446619,102.61173469387755,97.93099718797318,78.5526714254813,79.8840579710145,47.63834079859902,1931.4002546961983,84.50897685485616
281212025.jpg,moulting,val,173079,Aphrophora,Hexapoda,281212025,185.0,205.0,18.0,128.0,221.0,156.0,197.0,15.0,226.0,227.0,0.0,0.0,1.0,0.0,197.35374331387789,0.059118409680207436,0.6720205839928268,56.50884886458049,146.55118559738779,1.0,67.48105928762037,64.9061956143404,69.00533704606103,68.58149467291656,4313.873024925363,66.05560389836408,101.58167322911387,88.29944251686094,79.6003859498655,81.60493837907671,6314.952275060646,91.2641417488597
280679247.jpg,exuviae,train,68901,Salticus scenicus,Chelicerata,280679247,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
280639240.jpg,exuviae,train,48342,Hemigrapsus nudus,Crustacea,280639240,,,107.0,26.0,320.0,173.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
280268127.jpg,moulting,train,750928,Scutellerini,Hexapoda,280268127,216.0,181.0,154.0,59.0,107.0,156.0,153.0,174.0,98.0,135.0,0.0,0.0,1.0,0.0,104.64463674742247,0.15328579687801117,1.2616780045351474,44.81350242951336,62.09871174187111,1.0,83.59896956625929,96.0638030194105,50.49778336927869,44.89661714719814,1264.1163705359083,87.13215911814042,129.86515495086923,71.78473167044595,61.38420256991686,45.47070205444806,671.8833789533281,87.96220710506425
280195009.jpg,post-moult,train,504006,Aglaomorpha histrio,Hexapoda,280195009,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
280099871.jpg,post-moult,train,227734,Phidippus apacheanus,Chelicerata,280099871,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
279798143.jpg,moulting,val,122234,Lithobius forficatus,Myriapoda,279798143,243.0,132.0,98.0,72.0,189.0,111.0,230.0,123.0,164.0,113.0,0.0,0.0,0.0,1.0,130.32363561534032,0.09476046659832091,1.1320418735160802,50.70009861923347,83.76902768923607,1.0,139.30954764288097,118.54225654225654,104.24495924495925,54.916927971391914,2564.7825824276247,123.12507745841079,108.1956615583855,90.2561515216922,87.82424994603929,66.39715874772955,4121.127134429947,95.34297431469889
279500295.jpg,exuviae,train,52381,Aphididae,Hexapoda,279500295,,,152.0,64.0,143.0,328.0,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
279446572.jpg,moulting,val,56083,Armadillidium vulgare,Crustacea,279446572,254.0,141.0,205.0,66.0,61.0,90.0,247.0,88.0,46.0,90.0,0.0,1.0,0.0,0.0,40.91760012512953,0.15495322619333174,1.326086956521739,35.245567097154215,17.88854381999832,1.0,81.45828779599272,109.04826958105646,95.24116575591985,52.35729143427416,2378.8167222072916,99.21475409836066,80.66014492753624,123.25,110.40193236714975,61.463268773937024,2597.47047836589,109.03550724637681
278908174.jpg,exuviae,train,194566,Oedignathus inermis,Crustacea,278908174,230.0,152.0,15.0,39.0,342.0,399.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
278545507.jpg,moulting,train,362543,Dolomedes albineus,Chelicerata,278545507,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
278514071.jpg,exuviae,val,48765,Heteropoda venatoria,Chelicerata,278514071,214.0,163.0,0.0,67.0,367.0,311.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
278320376.jpg,moulting,val,377364,Nuncia,Chelicerata,278320376,203.0,183.0,203.0,50.0,191.0,152.0,67.0,158.0,244.0,136.0,1.0,0.0,0.0,0.0,148.29109885626985,0.08269525267993874,0.8748794599807136,111.21712997555727,45.221676218380054,1.0,102.18145494626619,91.65265913474786,93.6186277211353,39.01513063409646,1448.1478019206731,95.0415059244971,99.60712994214079,93.97673577627772,96.25452025072325,51.28277811053987,2509.8474946739216,95.91272902603664
278264790.jpg,exuviae,train,429951,Glebocarcinus oregonensis,Crustacea,278264790,,,51.0,201.0,313.0,288.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
278244470.jpg,post-moult,val,210942,Caedicia simplex,Hexapoda,278244470,161.0,196.0,124.0,48.0,119.0,236.0,171.0,221.0,85.0,260.0,0.0,0.0,1.0,0.0,187.41664813991312,0.09936908517350158,1.2707692307692309,37.5,163.64977849053142,1.0,121.71560319042871,132.36273322888476,80.2010753453924,57.13988266122907,2272.429908693964,123.21100982765988,81.77674208144796,94.23135746606334,78.78063348416289,46.270109353451026,1608.1251972236441,88.75420814479638
277936188.jpg,exuviae,train,117457,Pelegrina aeneola,Chelicerata,277936188,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
277794090.jpg,exuviae,train,49723,Pugettia producta,Crustacea,277794090,,,78.0,151.0,181.0,209.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
276881683.jpg,post-moult,val,49723,Pugettia producta,Crustacea,276881683,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
276829625.jpg,moulting,train,83844,Oxyopes salticus,Chelicerata,276829625,242.0,125.0,172.0,10.0,161.0,178.0,133.0,177.0,171.0,163.0,1.0,0.0,0.0,0.0,163.08356753517504,0.026362134388787015,1.0281634556739496,28.040149785619906,135.5525728269294,1.0,120.21383208877103,157.53688324377137,8.513329611277829,77.40788863479287,2202.2912785739422,129.37343848140137,86.28489936497687,117.29196713665554,9.405374376636889,58.025905261023134,1435.8386579330434,95.71474186488717
276762485.jpg,moulting,val,47826,Cancer productus,Crustacea,276762485,140.0,242.0,63.0,134.0,177.0,129.0,56.0,237.0,189.0,97.0,0.0,1.0,0.0,0.0,87.00574693662483,0.1258615031178208,1.2454590083456063,44.99444410146657,44.749301670528894,1.0,124.81084395392634,108.7018350632856,102.74821530241317,60.16516425432101,2887.5306184106116,112.84180790960453,178.8262150220913,119.30044182621502,93.17705776468664,64.98734417499809,2273.131519182142,134.12087492499865
276635460.jpg,post-moult,train,53740,Libinia emarginata,Crustacea,276635460,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
276069327.jpg,exuviae,train,180391,Telmessus cheiragonus,Crustacea,276069327,,,47.0,76.0,357.0,281.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
275511210.jpg,moulting,train,201638,Valanga,Hexapoda,275511210,151.0,193.0,100.0,41.0,138.0,183.0,98.0,170.0,128.0,212.0,0.0,0.0,1.0,0.0,143.67063026241655,0.14925635063396656,0.9306456367924528,63.120915709454025,83.72574275573791,1.0,71.67494258335313,81.35752752039281,31.271006573216123,75.19031732999795,5954.935111667454,72.74839629365646,61.823223761792455,77.40577093160377,34.81095224056604,75.32064773362474,6313.061574411035,67.88970371462264
275240350.jpg,moulting,val,56083,Armadillidium vulgare,Crustacea,275240350,276.0,181.0,221.0,163.0,204.0,140.0,200.0,67.0,131.0,132.0,0.0,1.0,0.0,0.0,115.35271995059328,0.09452878831280435,1.6516308119361554,70.09279563550022,49.1350180624776,1.0,118.30367647058823,125.59873949579831,133.86449579831933,44.895845823300974,1841.6074406036923,124.36988795518208,140.9880291464261,141.91071015498497,139.18158686097618,49.4066973241183,2438.9027150447746,141.3260467268101
273535708.jpg,exuviae,train,47826,Cancer productus,Crustacea,273535708,,,126.0,175.0,190.0,182.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
273509880.jpg,exuviae,train,368687,Pandercetes gracilis,Chelicerata,273509880,,,52.0,52.0,239.0,317.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
272872402.jpg,exuviae,val,180391,Telmessus cheiragonus,Crustacea,272872402,,,39.0,113.0,275.0,254.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
272345249.jpg,post-moult,train,48904,Hemigrapsus sanguineus,Crustacea,272345249,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
272212999.jpg,exuviae,train,48302,Limulus polyphemus,Chelicerata,272212999,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
272110862.jpg,exuviae,train,47826,Cancer productus,Crustacea,272110862,,,126.0,265.0,189.0,169.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
271318126.jpg,exuviae,train,180391,Telmessus cheiragonus,Crustacea,271318126,,,119.0,91.0,242.0,163.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
271142477.jpg,post-moult,val,1619450,Eucorysses superbus,Hexapoda,271142477,,,247.0,82.0,151.0,108.0,128.0,100.0,140.0,168.0,0.0,0.0,1.0,0.0,133.4325672390365,0.04981812430808161,0.6933673469387756,-1.0,-1.0,0.0,71.92923718420407,75.91764778023057,48.32597498160412,42.103458224031016,1683.6256170500728,71.5760976207996,63.07232142857143,75.94906462585034,26.98673469387755,50.11461313229646,2278.4825064137053,66.51522108843537
270800926.jpg,moulting,train,81770,Blaberoidea,Hexapoda,270800926,184.0,108.0,7.0,7.0,233.0,170.0,183.0,68.0,261.0,212.0,0.0,0.0,1.0,0.0,206.93960471596537,0.07002220243663289,0.7158606231475457,62.57994886543133,145.34871860460277,1.0,127.2533956071699,131.1770007573845,88.6864680636203,38.33374166145732,940.9300549589753,125.15645039131532,135.78081399551797,146.8447372225837,112.78377792235958,44.61882587934097,1511.2539005177393,139.64788910576158
