epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59553,1.89724,3.36246,2.12688,0.17547,0.38043,0.21164,0.09942,2.11152,11.2838,2.60425,0.00040008,0.00040008,0.00040008
2,11.3489,1.99773,2.72791,2.25689,0.00129,0.20217,0.00111,0.00034,3.24655,nan,52.9738,0.000808743,0.000808743,0.000808743
3,14.9559,2.11338,2.77299,2.30583,0.00108,0.22391,0.00087,0.00025,3.41842,inf,991.217,0.00120916,0.00120916,0.00120916
4,18.4796,2.13254,2.86199,2.37517,0,0,0,0,nan,nan,nan,0.00160132,0.00160132,0.00160132
5,22.0456,2.09821,2.7738,2.32859,0.00113,0.18043,0.00093,0.00021,3.64646,inf,36.1825,0.00160099,0.00160099,0.00160099
6,25.415,2.2208,2.76591,2.42292,0.04533,0.13043,0.04486,0.01191,2.96386,16.7481,3.77149,0.00158448,0.00158448,0.00158448
7,29.0261,2.07521,2.66598,2.27432,0.01331,0.35217,0.00927,0.00329,2.49882,39.0898,2.98717,0.00156798,0.00156798,0.00156798
8,32.6565,2.0727,2.62508,2.29547,0.00332,0.07174,0.00304,0.00129,2.76517,71.8245,3.12339,0.00155148,0.00155148,0.00155148
9,36.1963,2.04727,2.58903,2.23321,0.25135,0.19348,0.14722,0.07917,2.30114,4.55782,2.52771,0.00153497,0.00153497,0.00153497
10,39.5722,2.01973,2.54931,2.20479,0.07648,0.30217,0.08141,0.03324,2.34619,5.7623,2.56492,0.00151847,0.00151847,0.00151847
11,43.1311,1.98502,2.54456,2.16249,0.31566,0.13696,0.12405,0.05479,2.44813,5.80347,2.79479,0.00150197,0.00150197,0.00150197
12,46.6595,1.96883,2.51117,2.17395,0.31653,0.11522,0.09372,0.04347,2.18362,3.22215,2.65581,0.00148546,0.00148546,0.00148546
